Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1990,Export,6,28382447.12
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1990,Gross Exp.,2,28382447.12
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1990,Gross Imp.,1,35628007.98
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1990,Import,5,35628007.98
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1991,Export,6,28602000.56
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1991,Gross Exp.,2,28602000.56
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1991,Gross Imp.,1,35824101.55
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1991,Import,5,35824101.55
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1992,Export,6,31733007.59
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1992,Gross Exp.,2,31733007.59
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1992,Gross Imp.,1,38706687.99
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1992,Import,5,38706687.99
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1993,Export,6,29406748.24
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1993,Gross Exp.,2,29406748.24
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1993,Gross Imp.,1,35275734.36
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1993,Import,5,35275734.36
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1994,Export,6,33034103.63
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1994,Gross Exp.,2,33034103.63
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1994,Gross Imp.,1,39832164.01
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1994,Import,5,39832164.01
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1995,Export,6,41587589.31
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1995,Gross Exp.,2,41587589.31
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1995,Gross Imp.,1,50134445.98
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1995,Import,5,50134445.98
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1996,Export,6,41356559.16
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1996,Gross Exp.,2,41356559.16
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1996,Gross Imp.,1,50772378.74
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1996,Import,5,50772378.74
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1997,Export,6,41674727.93
S2,AUT,Total,Austria,EU-UK,EU28 - EU members (excl. UK) --- EU,1997,Gross Exp.,2,41674727.93
